,Place Overall,Place Gender,Name (CTZ),BIB,Division,HALF,Finish
24049,24027,8420,"Galindo Vite, Paola Denisse (MEX)",3980,25-29,01:59:03,04:10:58
24050,24028,15547,"Sanchez, Pedro (ESP)",10972,45-49,02:02:44,04:10:58
24051,24029,8421,"Woehr-Blouin, Sandra (USA)",41367,60-64,02:01:33,04:10:58
24052,24030,15548,"Mangine, Anthony (USA)",35274,50-54,01:57:36,04:10:59
24053,24031,15549,"Aldo, Bazzichi (ITA)",34604,50-54,01:58:47,04:10:59
24054,24032,15550,"Jimenez Arechar, Rafael (MEX)",16644,45-49,02:01:44,04:10:59
24055,24033,8422,"Agresta, Heather (USA)",38298,35-39,02:05:55,04:10:59
24056,24034,8423,"Marler, Sarah (USA)",31961,40-44,02:01:46,04:10:59
24057,24035,8424,"Garza, Paulina (MEX)",40881,30-34,02:08:38,04:10:59
24058,24036,8425,"Nimrod, Sarah (USA)",32542,30-34,02:01:24,04:11:00
24059,24037,8426,"Berner, Heather (USA)",37592,50-54,01:55:27,04:11:00
24060,24038,15551,"Nugraha, Yudi (INA)",8721,35-39,01:57:51,04:11:00
24061,24039,15552,"Guerra Sanchez, Antonio (MEX)",28932,35-39,02:04:21,04:11:00
24062,24040,8427,"Grdadolnik, Mary (USA)",42210,50-54,02:01:56,04:11:00
24063,24041,15553,"Liss, Brian (USA)",35527,35-39,01:58:49,04:11:00
24064,24042,8428,"Coughlin, Laura (USA)",44185,25-29,02:02:19,04:11:00
24065,24043,8429,"Muehling, Jacqueline (GER)",5441,35-39,01:56:43,04:11:01
24066,24044,8430,"Muneton Matagira, Catalina (COL)",52871,35-39,02:00:36,04:11:01
24067,24045,15554,"Wohlbold, Thomas (GER)",5986,50-54,02:02:36,04:11:01
24068,24046,8431,"Su, Chienyi (TPE)",11494,40-44,01:52:55,04:11:02
24069,24047,8432,"Ryan, Kristin (USA)",30736,40-44,01:58:24,04:11:02
24070,24048,15555,"Richards, Stu (USA)",14271,60-64,01:59:30,04:11:02
24071,24049,8433,"Chambers, Amy (USA)",29939,40-44,01:48:53,04:11:02
24072,24050,8434,"Reade, Erin (USA)",36928,45-49,02:05:09,04:11:02
24073,24051,8435,"Mancuso, Jackie (USA)",16196,35-39,01:50:46,04:11:03
24074,24052,15556,"Swanney, Kyle (USA)",14671,30-34,01:53:10,04:11:03
24075,24053,15557,"Alves, Alexandre (BRA)",34114,45-49,02:07:28,04:11:03
24076,24054,15558,"Price, Marston (USA)",33624,19 and under,01:47:22,04:11:03
24077,24055,15559,"Lin, Tsung Yuan (TPE)",29270,50-54,02:00:45,04:11:04
24078,24056,15560,"Garcia, Arnie (USA)",39858,55-59,01:59:04,04:11:04
24079,24057,8436,"McTigue, Lauren (USA)",36569,25-29,02:07:59,04:11:04
24080,24058,15561,"Chesini, Ulises (ARG)",27784,45-49,02:02:30,04:11:04
24081,24059,8437,"Zapiecki, Karina (GER)",37325,50-54,02:05:49,04:11:04
24082,24060,8438,"Mende, Cathleen (GER)",26810,45-49,02:05:00,04:11:04
24083,24061,15562,"Bergstrom, Steve (USA)",41495,35-39,01:56:46,04:11:04
24084,24062,8439,"Clark, Katherine (USA)",19706,40-44,01:52:19,04:11:05
24085,24063,15563,"Morales, Michael (USA)",15417,35-39,02:08:38,04:11:05
24086,24064,15564,"Gunnarsson, Bergsteinn (ISL)",39185,65-69,02:00:58,04:11:05
24087,24065,8440,"Gonzalez, Taylor Ann (USA)",38676,30-34,02:05:32,04:11:05
24088,24066,15565,"Swan, Timothy (USA)",36888,40-44,02:00:52,04:11:06
24089,24067,8441,"Blackman, Lois (USA)",27420,19 and under,02:04:26,04:11:06
24090,24068,15566,"Storte, Luiz (BRA)",50094,60-64,02:05:45,04:11:06
24091,24069,15567,"King, Steven (USA)",48159,35-39,01:56:26,04:11:06
24092,24070,8442,"Lowder, Paige (USA)",31087,30-34,01:58:59,04:11:06
24093,24071,8443,"Thanh, Kristine (USA)",48837,40-44,01:59:25,04:11:06
24094,24072,15568,"Braiden, Gavin (GBR)",33066,40-44,01:59:12,04:11:06
24095,24073,8444,"Van Zile, Carolyn (USA)",31959,25-29,01:55:20,04:11:06
24096,24074,8445,"Malee, Maggie (USA)",33609,19 and under,02:04:27,04:11:06
24097,24075,8446,"Maccise, Rebeca (MEX)",40674,45-49,02:01:40,04:11:06
24098,24076,15569,"D'Andrea, Massimo (ITA)",38415,55-59,01:57:10,04:11:06
24099,24077,8447,"Hewitt, Josalyn (USA)",37190,45-49,02:02:39,04:11:07
24100,24078,15570,"Neville, Tristan (USA)",15425,40-44,01:54:53,04:11:07
24101,24079,15571,"Orozco, Cuauhtemoc (MEX)",28876,40-44,02:03:57,04:11:07
24102,24080,15572,"Green, Robert (USA)",32315,60-64,01:58:45,04:11:07
24103,24081,8448,"Wright, Marissa (USA)",42150,35-39,02:05:25,04:11:07
24104,24082,8449,"Hamer, Catriona (GBR)",27807,40-44,02:02:14,04:11:09
24105,24083,15573,"Finlay, Connor (GBR)",29434,25-29,01:54:32,04:11:09
24106,24084,15574,"McLaughlin, Brandon (USA)",19434,35-39,01:59:48,04:11:09
24107,24085,8450,"Tsai, Chanthana (USA)",30255,50-54,02:00:57,04:11:09
24108,24086,8451,"Barrow-Green, June (GBR)",41227,70-74,02:00:53,04:11:09
24109,24087,15575,"Cherrez, Willan (ECU)",4622,50-54,01:53:37,04:11:10
24110,24088,8452,"Bedard, Julie (USA)",37916,40-44,02:06:55,04:11:10
24111,24089,15576,"Latham, Ryan (USA)",38771,40-44,02:06:09,04:11:10
24112,24090,15577,"Della Villa, Joshua (USA)",34000,35-39,01:56:25,04:11:10
24113,24091,8453,"Bloom, Ellen (USA)",20639,30-34,02:02:39,04:11:10
24114,24092,15578,"Johnson, Alexander (USA)",45233,25-29,02:06:42,04:11:11
24115,24093,8454,"Chavez, Jessica (MEX)",46496,40-44,02:01:50,04:11:11
24116,24094,15579,"Vazquez Vargas, Gerardo (PUR)",59495,45-49,02:07:30,04:11:11
24117,24095,8455,"Pfaffenrot, Viktoria (GER)",46327,35-39,01:58:44,04:11:12
24118,24096,15580,"Penny, John (USA)",56428,25-29,02:06:48,04:11:12
24119,24097,8456,"Galindo, Kristina (PAN)",1688,30-34,02:02:47,04:11:12
24120,24098,15581,"Austin, Brandin (USA)",23121,35-39,01:55:12,04:11:12
24121,24099,15582,"Riggio, Joseph (USA)",21207,45-49,02:04:33,04:11:12
24122,24100,8457,"Vargas, Xiomara (PUR)",59513,45-49,02:07:30,04:11:12
24123,24101,8458,"Gutierrez, Maria (MEX)",27666,35-39,01:56:52,04:11:12
24124,24102,15583,"Sanchez, Juan (COL)",40283,45-49,01:58:08,04:11:13
24125,24103,15584,"Arreola, Victor (MEX)",36664,45-49,01:54:55,04:11:13
24126,24104,8459,"Haasl, Jami (USA)",45294,25-29,02:05:37,04:11:13
24127,24105,15585,"Brasil, Claudio (BRA)",40035,40-44,02:06:11,04:11:13
24128,24106,8460,"Tocco, Megan (USA)",42447,45-49,02:02:35,04:11:14
24129,24107,8461,"Oshkin, Allie (USA)",30638,30-34,02:03:39,04:11:14
24130,24108,8462,"Roloff, Kris (USA)",53921,55-59,02:06:07,04:11:14
24131,24109,15586,"Aagaard, Gregory (USA)",33204,40-44,01:47:06,04:11:14
24132,24110,15587,"Guy, Jeremy (USA)",43478,45-49,02:04:43,04:11:14
24133,24111,8463,"Maldonado, Ella (USA)",39423,19 and under,02:01:30,04:11:14
24134,24112,15588,"Murugaswamy, Rajeev (IND)",33646,35-39,01:59:41,04:11:14
24135,24113,8464,"Murphy, Denise (USA)",14597,60-64,02:01:23,04:11:15
24136,24114,8465,"Varden, Mary (IRL)",14598,55-59,02:01:23,04:11:15
24137,24115,8466,"Corcoran, Shannon (USA)",50119,40-44,02:04:35,04:11:15
24138,24116,15589,"Whitehead, Kyle (USA)",27608,35-39,01:58:01,04:11:15
24139,24117,15590,"Fletcher, Martin (AUS)",26728,60-64,01:55:37,04:11:15
24140,24118,15591,"Alesio, Philip (USA)",36971,60-64,02:01:48,04:11:16
24141,24119,15592,"Halai, Vinesh (GBR)",12465,35-39,02:00:15,04:11:16
24142,24120,8467,"Gonzalez, Ana (MEX)",34825,30-34,02:00:03,04:11:16
24143,24121,15593,"Becerra, Jose (MEX)",40668,45-49,01:54:15,04:11:16
24144,24122,15594,"Schroeder, Kurt (USA)",30799,50-54,02:05:23,04:11:16
24145,24123,15595,"Boosarawongse, Arnut (THA)",41094,50-54,01:59:21,04:11:16
24146,24124,15596,"Nacenta, Iker (MEX)",7444,20-24,02:12:04,04:11:16
24147,24125,8468,"Whyte, Lynsey (GBR)",41277,45-49,02:03:57,04:11:17
24148,24126,15597,"Wallace II, Dave (USA)",44994,40-44,01:59:01,04:11:17
24149,24127,8469,"Immen, Silvia (GER)",16592,50-54,01:57:21,04:11:17
24150,24128,15598,"Viveros Niaves, Arturo (MEX)",44874,40-44,02:09:10,04:11:17
24151,24129,15599,"Martinez Mendoza, Jose Carlos (USA)",48805,20-24,02:02:20,04:11:18
24152,24130,8470,"Zhang, QunFang (USA)",14932,50-54,02:06:42,04:11:18
24153,24131,8471,"Qin, Lihua (USA)",33580,45-49,02:06:42,04:11:18
24154,24132,8472,"Vieux-Revell, Abbey (USA)",27024,40-44,01:56:56,04:11:19
24155,24133,15600,"Turner, Andre (USA)",58471,25-29,01:52:43,04:11:19
24156,24134,8473,"Radonova, Maria (USA)",30201,45-49,02:00:39,04:11:19
24157,24135,15601,"Turner, Christopher (GBR)",45169,35-39,02:03:57,04:11:19
24158,24136,8474,"Rodriguez, Thelma (USA)",27604,40-44,01:59:07,04:11:19
24159,24137,15602,"Tyberg, Matthew (USA)",39719,30-34,02:07:50,04:11:20
24160,24138,8475,"Sharma, Natasha (USA)",55367,20-24,02:07:55,04:11:20
24161,24139,15603,"El Baroud, Abdel (FRA)",39174,45-49,01:54:42,04:11:20
24162,24140,8476,"Peeters, Lindsey (BEL)",33279,35-39,02:02:09,04:11:20
24163,24141,15604,"Strahan, Charles (USA)",54648,25-29,01:55:28,04:11:21
24164,24142,15605,"Kurup, Jeyesh (USA)",36666,50-54,01:54:37,04:11:21
24165,24143,8477,"Willis, Nicki (USA)",38625,25-29,01:58:24,04:11:21
24166,24144,8478,"Martin, Dallas (USA)",2829,40-44,01:59:02,04:11:22
24167,24145,8479,"Enckels, Barbara (BEL)",27860,45-49,02:00:53,04:11:22
24168,24146,15606,"Santiago, Anthony (USA)",44374,45-49,02:00:24,04:11:22
24169,24147,8480,"Santana, Loreto (CHI)",34323,30-34,02:03:39,04:11:22
24170,24148,8481,"Diaz, Jocelyn (USA)",30752,40-44,02:01:58,04:11:22
24171,24149,15607,"Cartagena, Javier (CHI)",5312,30-34,01:57:05,04:11:22
24172,24150,8482,"Pereira, Domitila (BRA)",51157,35-39,02:09:03,04:11:22
24173,24151,15608,"Pears, Simon (GBR)",29514,50-54,01:58:24,04:11:22
24174,24152,8483,"Bienvenue, Joan (USA)",26494,45-49,01:52:33,04:11:23
24175,24153,15609,"Vu, Truong Giang (VIE)",28095,25-29,02:05:27,04:11:24
24176,24154,15610,"Keane, Mike (USA)",44774,55-59,02:03:20,04:11:24
24177,24155,15611,"Heo, Namheon (KOR)",7958,60-64,02:01:11,04:11:24
24178,24156,15612,"Urquiza, Raul (USA)",39830,25-29,02:03:19,04:11:24
24179,24157,15613,"Ryan, Kevin (USA)",32412,35-39,02:07:12,04:11:25
24180,24158,8484,"Joyce, Linsey (USA)",30757,40-44,02:04:01,04:11:25
24181,24159,8485,"Clark, Elise (USA)",38378,25-29,02:01:09,04:11:25
24182,24160,8486,"Burke, Tatum (USA)",20591,40-44,01:53:35,04:11:25
24183,24161,8487,"Drew, Kelly (USA)",32952,40-44,02:03:50,04:11:25
24184,24162,15614,"Campbell, Tarik (USA)",29882,50-54,01:59:01,04:11:25
24185,24163,15615,"Bonnell, Andrew (USA)",31920,45-49,01:48:09,04:11:25
24186,24164,8488,"Fink, Laura (USA)",33240,20-24,02:02:30,04:11:25
24187,24165,15616,"Vicale, Nicholas (USA)",45472,35-39,02:07:08,04:11:25
24188,24166,15617,"Saunders, Peter (GBR)",41275,45-49,02:08:52,04:11:26
24189,24167,15618,"Krawczyk, Kamil (POL)",29110,30-34,01:58:35,04:11:27
24190,24168,8489,"Flynn, Kelly (USA)",36688,25-29,02:06:04,04:11:27
24191,24169,15619,"Da Costa, Olivier (FRA)",28736,55-59,02:05:00,04:11:28
24192,24170,8490,"Marchlewicz, Elizabeth (USA)",50677,35-39,02:01:06,04:11:28
24193,24171,8491,"Haggie, Julia (USA)",48161,20-24,02:10:44,04:11:28
24194,24172,15620,"Farrell, Ainsworth (USA)",3689,45-49,01:48:32,04:11:28
24195,24173,15621,"Moore, Stuart (USA)",56954,25-29,01:54:20,04:11:28
24196,24174,8492,"Sampson, Erika (USA)",27230,50-54,01:53:00,04:11:29
24197,24175,15622,"Tobin, Gerard (IRL)",8764,45-49,01:55:40,04:11:29
24198,24176,8493,"Piscetelli, Elizabeth (USA)",56292,35-39,02:03:40,04:11:29
24199,24177,8494,"Hobbs, Evelyn (USA)",41757,25-29,02:08:27,04:11:29
24200,24178,8495,"Hanna, Kayla (USA)",31127,30-34,02:03:33,04:11:29
24201,24179,8496,"Polzin, Linsey (USA)",36258,30-34,01:51:58,04:11:29
24202,24180,8497,"Ma, Tracy (USA)",12032,50-54,01:52:11,04:11:29
24203,24181,15623,"D'Andrea, Michael (USA)",18870,30-34,01:59:49,04:11:30
24204,24182,15624,"Cam, Vincent (FRA)",42665,45-49,02:05:44,04:11:30
24205,24183,8498,"Wolf, Lauren (USA)",49710,30-34,02:04:14,04:11:30
24206,24184,8499,"Da Rocha Rech, Luana Camila (BRA)",50730,35-39,01:55:39,04:11:31
24207,24185,8500,"Cho, You Lee (KOR)",40511,45-49,02:01:25,04:11:31
24208,24186,15625,"Dickerson, Matthew (USA)",42365,40-44,02:05:20,04:11:31
24209,24187,8501,"Mendoza, Laura (ARG)",34016,35-39,01:53:19,04:11:31
24210,24188,15626,"Doloricon, Antonio II (PHI)",50447,45-49,01:57:17,04:11:32
24211,24189,15627,"Dolezal, Benjamin (USA)",44863,25-29,02:03:11,04:11:32
24212,24190,8502,"Choi, Sharon (HKG)",50891,35-39,02:02:35,04:11:32
24213,24191,8503,"Chaney, Carlye (USA)",17787,25-29,01:46:01,04:11:32
24214,24192,15628,"Gentry, Eric (USA)",56482,50-54,01:59:46,04:11:32
24215,24193,15629,"Hammond, Brandon (RSA)",29552,35-39,01:57:40,04:11:32
24216,24194,8504,"Ledesma Valencia, Laura Elena (MEX)",46631,55-59,02:07:37,04:11:32
24217,24195,15630,"Farrell, Kieran (USA)",15252,25-29,01:46:52,04:11:33
24218,24196,8505,"Girard, Anne-Lise (CAN)",40156,40-44,02:03:49,04:11:33
24219,24197,8506,"Garcia Leon, Nora Patricia (MEX)",7245,35-39,02:00:15,04:11:33
24220,24198,15631,"Verhagen Metman, Okker (USA)",15167,25-29,01:49:25,04:11:34
24221,24199,15632,"Chaiyosburana, Worawat (THA)",41095,45-49,02:04:44,04:11:34
24222,24200,15633,"Mendez, Cesar (ESP)",10249,45-49,01:46:27,04:11:35
24223,24201,8507,"Palao Suarez, Cynthia (USA)",56291,45-49,02:04:33,04:11:35
24224,24202,15634,"Kumar, Amit (CAN)",33121,50-54,02:02:52,04:11:35
24225,24203,15635,"Singer, Jeremy (USA)",51229,25-29,02:01:50,04:11:35
24226,24204,15636,"Fleming, Jim (USA)",13841,45-49,02:02:04,04:11:35
24227,24205,15637,"Pilas, Brandon (USA)",35944,30-34,02:03:04,04:11:36
24228,24206,15638,"Redmayne, Darren (GBR)",50725,45-49,02:05:40,04:11:36
24229,24207,8508,"Harris, Anne (USA)",29815,50-54,01:59:41,04:11:37
24230,24208,8509,"Kluzek, Jamie (USA)",39632,30-34,01:58:43,04:11:37
24231,24209,8510,"Garza, Dalia (MEX)",40658,40-44,02:02:12,04:11:37
24232,24210,15639,"Wolff, Juergen (GER)",32560,55-59,01:56:24,04:11:37
24233,24211,8511,"Dudman, Angie (USA)",27044,60-64,01:59:01,04:11:38
24234,24212,15640,"Castle, Jim (USA)",33781,50-54,02:03:59,04:11:38
24235,24213,8512,"Cong, Carolynn (USA)",45443,25-29,01:58:24,04:11:38
24236,24214,15641,"Song, Zhuoxi (CHN)",35609,30-34,01:59:45,04:11:38
24237,24215,15642,"Hansen, Zachary (USA)",27705,35-39,01:54:41,04:11:38
24238,24216,15643,"Palmer, Isaac (USA)",49200,65-69,02:01:03,04:11:38
24239,24217,15644,"Schoenichen, Andre (GER)",48829,45-49,02:05:08,04:11:38
24240,24218,15645,"Fluckiger, Martin (SUI)",26885,75-79,02:00:22,04:11:39
24241,24219,15646,"Virtanen, Teijo (FIN)",5920,65-69,01:58:41,04:11:40
24242,24220,15647,"Sapiega, Vytas (USA)",15616,50-54,02:07:49,04:11:40
24243,24221,15648,"Saiman, Danly (INA)",16507,50-54,02:02:38,04:11:40
24244,24222,8513,"Pontello, Lauren (USA)",42735,30-34,01:59:11,04:11:40
24245,24223,8514,"Wells, Barbara (CAN)",4885,45-49,01:57:21,04:11:40
24246,24224,15649,"Bindra, Amit (USA)",38143,35-39,02:02:09,04:11:41
24247,24225,8515,"Minnick, Summer (USA)",47769,45-49,01:59:12,04:11:41
24248,24226,15650,"Moran, Marcel (ECU)",45434,40-44,01:58:30,04:11:41
24249,24227,15651,"Cuéllar, Guadalupe (MEX)",10643,50-54,01:56:33,04:11:42
24250,24228,8516,"Tsunoda, Hideko (JPN)",26838,60-64,02:04:08,04:11:42
24251,24229,15652,"Ruiz, Mariano (USA)",42442,45-49,01:59:39,04:11:42
24252,24230,15653,"Mosqueda, Miguel (MEX)",32723,45-49,01:57:07,04:11:43
24253,24231,15654,"Liu, Hua Cheng (TPE)",16623,40-44,01:53:32,04:11:43
24254,24232,15655,"Corti, Fabio (ITA)",46440,45-49,01:56:41,04:11:43
24255,24233,8517,"Hulbert, Karen (USA)",27125,65-69,01:59:47,04:11:44
24256,24234,15656,"Roseno, Israel (USA)",31770,40-44,01:51:07,04:11:44
24257,24235,8518,"Kunst, Bridgette (USA)",32631,45-49,02:04:27,04:11:44
24258,24236,15657,"Lopez, Jorge (USA)",23073,40-44,02:03:04,04:11:44
24259,24237,8519,"Zhang, Jing (CHN)",45387,45-49,02:04:08,04:11:45
24260,24238,8520,"Wall, Elizabeth (USA)",54858,20-24,02:10:38,04:11:45
24261,24239,15658,"Coppola, Mariano (ITA)",34586,50-54,02:03:21,04:11:45
24262,24240,15659,"Turner, Gregory (USA)",38894,40-44,01:57:44,04:11:45
24263,24241,8521,"Harris, Ffion (GBR)",11718,30-34,02:01:26,04:11:45
24264,24242,8522,"Ketterer, Alexandra (USA)",36998,30-34,02:02:06,04:11:45
24265,24243,8523,"Reynolds, Claudia (USA)",44151,20-24,01:55:29,04:11:46
24266,24244,15660,"Alberto, Eugene Joseph (PHI)",28139,45-49,01:53:11,04:11:46
24267,24245,15661,"Novelli, Kevin (USA)",43874,50-54,02:06:10,04:11:47
24268,24246,15662,"Puga Mora, Manuel Alejandro (MEX)",28831,30-34,01:58:59,04:11:47
24269,24247,15663,"Meilhaud, Sebastien (FRA)",33048,40-44,02:03:39,04:11:47
24270,24248,8524,"Kickels, Christine (USA)",36194,55-59,01:59:39,04:11:48
24271,24249,15664,"Kelly, William (USA)",50536,25-29,01:58:57,04:11:48
24272,24250,15665,"Couderc, Maxime (FRA)",34493,35-39,01:50:41,04:11:48
24273,24251,15666,"Arnfelt, Luke (USA)",30775,30-34,02:03:16,04:11:49
24274,24252,15667,"Ferreira, Jose (USA)",12618,40-44,02:04:19,04:11:49
24275,24253,15668,"Larivee, Gilles (CAN)",28104,60-64,02:05:28,04:11:49
24276,24254,8525,"Farr, Janina (GER)",54180,30-34,02:09:32,04:11:49
24277,24255,15669,"Whitten, Jerry (USA)",43120,40-44,02:00:56,04:11:49
24278,24256,8526,"García Chávez, Claudia Gabriela (MEX)",50458,35-39,02:06:53,04:11:49
24279,24257,15670,"Caceres, Marlon (GUA)",62308,35-39,02:03:38,04:11:49
24280,24258,15671,"Pollitt, James (USA)",37405,30-34,02:02:32,04:11:49
24281,24259,15672,"Van der Reijden, Wil (NED)",9948,55-59,02:01:50,04:11:50
24282,24260,8527,"Rees, Lynn (GBR)",26879,60-64,01:58:21,04:11:50
24283,24261,15673,"Nomura, Toshiya (JPN)",40610,60-64,02:01:59,04:11:50
24284,24262,15674,"Murphy, Colin (USA)",37721,25-29,01:55:58,04:11:50
24285,24263,15675,"Taveras, Kelvin (USA)",19765,35-39,02:01:12,04:11:51
24286,24264,15676,"Pettay, James (USA)",45214,25-29,02:06:27,04:11:52
24287,24265,8528,"Gawedzki, Victoria (USA)",43427,25-29,02:03:52,04:11:52
24288,24266,15677,"Fernandes, Eduardo (BRA)",27868,40-44,01:52:47,04:11:52
24289,24267,15678,"Obeirne, Jason (USA)",16747,45-49,01:45:35,04:11:52
24290,24268,8529,"Walker, Morgan (USA)",43075,30-34,02:03:55,04:11:53
24291,24269,15679,"D'Ippolito, Matthew (CAN)",40201,25-29,02:00:59,04:11:54
24292,24270,8530,"Todd, Madeline (USA)",42886,25-29,01:59:46,04:11:54
24293,24271,15680,"Barley, Aron (CAN)",37021,40-44,02:00:45,04:11:54
24294,24272,15681,"Rivero Morales, Diego Uriel (MEX)",50055,35-39,02:05:39,04:11:54
24295,24273,8531,"Korn, Tracy (USA)",31137,25-29,01:55:17,04:11:54
24296,24274,8532,"Gomez, Andrea (MEX)",49679,25-29,02:07:18,04:11:54
24297,24275,15682,"Proferes, Jim (USA)",15516,55-59,02:01:30,04:11:54
24298,24276,8533,"Lagarile, Shaina (USA)",16943,30-34,01:51:20,04:11:54
24299,24277,15683,"Lopez, Guillermo (USA)",27479,25-29,01:55:14,04:11:54
24300,24278,8534,"Downie, Kathy (USA)",39317,45-49,02:01:05,04:11:55
24301,24279,8535,"Duncan, Maria (USA)",32954,50-54,01:58:40,04:11:55
24302,24280,8536,"Culligan, Kathleen (USA)",30506,20-24,02:02:02,04:11:55
24303,24281,8537,"Barrera, Andrea (COL)",34387,40-44,02:04:46,04:11:55
24304,24282,15684,"Travise, Ralph (USA)",15274,50-54,02:04:43,04:11:56
24305,24283,15685,"Arya, Gunjan (IND)",33130,35-39,01:53:19,04:11:56
24306,24284,15686,"DePetris, Chris (USA)",17077,35-39,02:01:28,04:11:56
24307,24285,8538,"Colin, Cristina (MEX)",40917,35-39,02:03:46,04:11:56
24308,24286,8539,"Soriano, Sydney (USA)",39076,25-29,02:03:09,04:11:56
24309,24287,8540,"Lopez, Vilma (USA)",43147,35-39,02:00:05,04:11:56
24310,24288,15687,"Martnez, Jaime (MEX)",40902,45-49,01:59:54,04:11:56
24311,24289,15688,"Scholz, Joshua (USA)",39055,25-29,02:03:09,04:11:57
24312,24290,15689,"Schartz, Alain (LUX)",7975,45-49,01:58:46,04:11:57
24313,24291,15690,"Polishchuk, Andrii (UKR)",28378,30-34,01:57:49,04:11:57
24314,24292,8541,"Sadowsky, Mari (USA)",47550,25-29,02:05:24,04:11:57
24315,24293,8542,"Garro Madrigal, Adriana (CRC)",4536,40-44,02:09:18,04:11:58
24316,24294,15691,"Heneman, Cedric (FRA)",49667,45-49,01:58:49,04:11:58
24317,24295,8543,"McKnight, Kristen (USA)",47850,35-39,01:59:59,04:11:58
24318,24296,8544,"Xu, Angela (USA)",17485,25-29,01:54:53,04:11:58
24319,24297,15692,"Yager, Michael (USA)",32470,20-24,02:02:01,04:11:58
24320,24298,15693,"Huynh Williams, Anson (CAN)",28023,35-39,02:02:26,04:11:58
24321,24299,15694,"Burchill, Myles (USA)",1370,20-24,02:04:40,04:11:58
24322,24300,15695,"Paulson, Bob (USA)",31168,60-64,01:56:22,04:11:59
24323,24301,8545,"Rodriguez, Marycarmen (USA)",50206,40-44,02:01:02,04:11:59
24324,24302,8546,"Suarez Gaytan, Mariana (MEX)",34872,40-44,02:01:10,04:11:59
24325,24303,15696,"Kelly, Steven (USA)",42827,30-34,02:04:31,04:11:59
24326,24304,15697,"Sosa, Jose (USA)",36084,35-39,02:00:54,04:11:59
24327,24305,15698,"Chevez, Paul (VEN)",32222,40-44,02:00:06,04:11:59
24328,24306,8547,"Zhang, Yi (CHN)",29615,20-24,02:07:17,04:12:00
24329,24307,8548,"Mcdonough, Emily (USA)",47729,25-29,01:55:59,04:12:00
24330,24308,8549,"Liu, Lu (CHN)",41314,30-34,02:07:17,04:12:00
24331,24309,8550,"Herd, Victoria (GBR)",11565,40-44,02:00:03,04:12:00
24332,24310,8551,"Sack, Silvia (NED)",51163,40-44,02:05:15,04:12:00
24333,24311,8552,"Restuccia, Veronica (ITA)",11506,35-39,01:50:43,04:12:00
24334,24312,15699,"Chi Fai, Cheung (HKG)",34521,40-44,01:58:14,04:12:00
24335,24313,15700,"Kelmel, Michael (USA)",43232,60-64,02:03:07,04:12:01
24336,24314,15701,"Condon, Kevin (USA)",17640,55-59,01:55:55,04:12:01
24337,24315,8553,"Knight, Erin (USA)",1491,40-44,02:05:53,04:12:01
24338,24316,15702,"Simonet, Michael (USA)",30226,30-34,02:00:35,04:12:01
24339,24317,15703,"Patterson, Edward (USA)",57028,35-39,02:03:36,04:12:02
24340,24318,15704,"Garbacik, Zach (USA)",30404,30-34,01:56:52,04:12:02
24341,24319,8554,"Boardman, Liz (USA)",43609,40-44,02:05:05,04:12:02
24342,24320,15705,"Laruelle, Ludovic (BEL)",45133,45-49,02:06:03,04:12:02
24343,24321,15706,"Armiros, Vasilios (USA)",37954,25-29,02:05:15,04:12:03
24344,24322,15707,"Guan, Baoxiang (CHN)",30973,65-69,02:01:22,04:12:03
24345,24323,8555,"Yip, Jeanne (CAN)",46167,40-44,02:04:42,04:12:04
24346,24324,8556,"Heller, Kasey (USA)",36923,35-39,02:04:59,04:12:04
24347,24325,8557,"Murphy, Mary (USA)",42010,25-29,02:06:45,04:12:04
24348,24326,15708,"Porter, Tom (GBR)",35251,35-39,01:59:14,04:12:04
24349,24327,8558,"Ngo, Bethany (USA)",32322,40-44,02:06:10,04:12:04
24350,24328,8559,"Paulin, Michelle (CAN)",32664,65-69,02:02:25,04:12:04
24351,24329,8560,"Polizotto, Molly (USA)",36581,25-29,02:04:38,04:12:04
24352,24330,8561,"Weisz, Shannon (USA)",4667,30-34,02:04:08,04:12:04
24353,24331,8562,"Moreno Reyes, Berenice (MEX)",53300,35-39,02:04:14,04:12:05
24354,24332,15709,"Tan, Jason (MAS)",53209,40-44,01:52:39,04:12:05
24355,24333,8563,"Castro Garcia, Isabel Maria (ESP)",58246,35-39,02:08:15,04:12:05
24356,24334,15710,"Harrison, Jack (USA)",1407,19 and under,02:00:11,04:12:05
24357,24335,15711,"Barrett, James (USA)",47657,30-34,02:08:28,04:12:05
24358,24336,8564,"Holbrook, Beth (USA)",51127,50-54,02:05:04,04:12:05
24359,24337,8565,"Grant, Alicia (USA)",44229,25-29,02:01:55,04:12:05
24360,24338,15712,"Howell, Michael (USA)",33437,30-34,02:02:09,04:12:05
24361,24339,15713,"Johnson, Connor (USA)",41924,30-34,01:46:17,04:12:05
24362,24340,15714,"Durkin, Conor (USA)",30075,30-34,01:58:06,04:12:05
24363,24341,15715,"Kearney, James (USA)",51119,40-44,02:01:06,04:12:06
24364,24342,15716,"James, John (USA)",27248,60-64,01:50:11,04:12:06
24365,24343,8566,"Liversidge, Mica (USA)",42835,30-34,02:00:22,04:12:06
24366,24344,8567,"Velasquez, Estefania (USA)",43069,35-39,02:00:16,04:12:06
24367,24345,15717,"Wiryaman, Anthony (USA)",41700,25-29,01:59:20,04:12:06
